공급지역코드,공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,공급세대수,순위,거주지역,접수건수,경쟁률,최저당첨가점,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,법정동코드,시세차익
100,771,N,N,N,N,N,N,N,12,1순위,해당지역,91,7.58,45.0,0.1723,0.0483666666666666,0.0606333333333333,0.0262333333333333,0.3591999999999999,0.0684333333333333,0.2648,1159010200.0,1360093320.5324361
100,920,N,N,N,Y,N,N,N,21,1순위,해당지역,649,30.9,55.0,0.0652666666666666,0.0929333333333333,0.0007333333333333,0.1930666666666666,0.6464666666666666,0.0007333333333333,0.0007333333333333,1123011000.0,745938511.3597616
100,920,N,N,N,Y,N,N,N,88,1순위,해당지역,0,24.17,58.0,0.0652666666666666,0.0929333333333333,0.0007333333333333,0.1930666666666666,0.6464666666666666,0.0007333333333333,0.0007333333333333,1123011000.0,817935017.9507937
100,920,N,N,N,Y,N,N,N,133,1순위,해당지역,0,63.47,64.0,0.0652666666666666,0.0929333333333333,0.0007333333333333,0.1930666666666666,0.6464666666666666,0.0007333333333333,0.0007333333333333,1123011000.0,887930421.9708892
100,920,N,N,N,Y,N,N,N,55,1순위,해당지역,0,42.33,64.0,0.0652666666666666,0.0929333333333333,0.0007333333333333,0.1930666666666666,0.6464666666666666,0.0007333333333333,0.0007333333333333,1123011000.0,878930387.1528596
100,920,N,N,N,Y,N,N,N,2,1순위,해당지역,268,134.0,69.0,0.0652666666666666,0.0929333333333333,0.0007333333333333,0.1930666666666666,0.6464666666666666,0.0007333333333333,0.0007333333333333,1123011000.0,869930421.9708892
100,920,N,N,N,Y,N,N,N,19,1순위,해당지역,955,50.26,67.0,0.0652666666666666,0.0929333333333333,0.0007333333333333,0.1930666666666666,0.6464666666666666,0.0007333333333333,0.0007333333333333,1123011000.0,985912978.1380695
100,920,N,N,N,Y,N,N,N,5,1순위,해당지역,311,62.2,68.0,0.0652666666666666,0.0929333333333333,0.0007333333333333,0.1930666666666666,0.6464666666666666,0.0007333333333333,0.0007333333333333,1123011000.0,975912966.5320598
100,920,N,N,N,Y,N,N,N,37,1순위,해당지역,0,44.14,62.0,0.0652666666666666,0.0929333333333333,0.0007333333333333,0.1930666666666666,0.6464666666666666,0.0007333333333333,0.0007333333333333,1123011000.0,951912966.5320597
100,920,N,N,N,Y,N,N,N,70,1순위,해당지역,0,110.93,69.0,0.0652666666666666,0.0929333333333333,0.0007333333333333,0.1930666666666666,0.6464666666666666,0.0007333333333333,0.0007333333333333,1123011000.0,1098901383.7342193
100,920,N,N,N,Y,N,N,N,18,1순위,해당지역,0,63.94,69.0,0.0652666666666666,0.0929333333333333,0.0007333333333333,0.1930666666666666,0.6464666666666666,0.0007333333333333,0.0007333333333333,1123011000.0,1077901360.5221999
100,920,N,N,N,Y,N,N,N,3,1순위,해당지역,583,194.33,69.0,0.0652666666666666,0.0929333333333333,0.0007333333333333,0.1930666666666666,0.6464666666666666,0.0007333333333333,0.0007333333333333,1123011000.0,1098901383.7342193
100,32,N,N,N,N,N,N,N,8,1순위,해당지역,11,1.38,25.0,0.0613,0.0008666666666666,0.0630666666666666,0.0008666666666666,0.0008666666666666,0.0008666666666666,0.8720666666666667,1130510300.0,285983471.90790325
100,32,N,N,N,N,N,N,N,8,1순위,해당지역,11,1.38,20.0,0.0613,0.0008666666666666,0.0630666666666666,0.0008666666666666,0.0008666666666666,0.0008666666666666,0.8720666666666667,1130510300.0,463973225.91177046
100,32,N,N,N,N,N,N,N,8,1순위,해당지역,35,4.38,48.0,0.0613,0.0008666666666666,0.0630666666666666,0.0008666666666666,0.0008666666666666,0.0008666666666666,0.8720666666666667,1130510300.0,633963659.6614705
410,282,N,N,Y,N,N,Y,N,35,1순위,해당지역,0,176.18,64.0,0.0007,0.2264666666666666,0.0007,0.0277666666666666,0.7109333333333333,0.0007,0.0327,4122012800.0,509739152.94143826
410,282,N,N,Y,N,N,Y,N,35,1순위,기타지역,0,249.18,68.0,0.0007,0.2264666666666666,0.0007,0.0277666666666666,0.7109333333333333,0.0007,0.0327,4122012800.0,509739152.94143826
410,282,N,N,Y,N,N,Y,N,22,1순위,해당지역,681,97.29,62.0,0.0007,0.2264666666666666,0.0007,0.0277666666666666,0.7109333333333333,0.0007,0.0327,4122012800.0,506039199.651035
410,282,N,N,Y,N,N,Y,N,22,1순위,기타지역,357,128.18,62.0,0.0007,0.2264666666666666,0.0007,0.0277666666666666,0.7109333333333333,0.0007,0.0327,4122012800.0,506039199.651035
410,282,N,N,Y,N,N,Y,N,22,1순위,해당지역,509,72.71,57.0,0.0007,0.2264666666666666,0.0007,0.0277666666666666,0.7109333333333333,0.0007,0.0327,4122012800.0,496039449.461409
410,282,N,N,Y,N,N,Y,N,22,1순위,기타지역,325,100.36,58.0,0.0007,0.2264666666666666,0.0007,0.0277666666666666,0.7109333333333333,0.0007,0.0327,4122012800.0,496039449.461409
